avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,l2_regulizer,dropout_rate,optimizer,num_layers
0.9437937378883362,0.005807832744498289,0.18805046379566193,64.0,0.0001,0.6,adam,0
0.9253706574440003,0.011788752697935688,0.34391833543777467,64.0,0.0001,0.6,sgd,0
0.9477597117424011,0.00380933217359915,0.18011001944541932,64.0,1e-05,0.1,adam,0
0.9258384943008423,0.005752164817358797,0.3400657534599304,64.0,1e-05,0.1,sgd,0
0.9454287171363831,0.004513051763923445,0.1811443895101547,64.0,1e-05,0.2,adam,0
0.9239706993103027,0.00848073716349371,0.3426449418067932,64.0,1e-05,0.2,sgd,0
0.9470590472221374,0.005272380376336775,0.17829433381557463,64.0,1e-05,0.30000000000000004,adam,0
0.9244371652603149,0.01108984804500803,0.3369964063167572,64.0,1e-05,0.30000000000000004,sgd,0
0.9486926555633545,0.00340098601670969,0.1783803880214691,64.0,1e-05,0.4,adam,0
0.9239717841148376,0.008275436075685594,0.3543738305568695,64.0,1e-05,0.4,sgd,0
0.9463594794273377,0.004393995311285776,0.18157130479812622,64.0,1e-05,0.5,adam,0
0.9235055923461915,0.007736695457247711,0.3446867525577545,64.0,1e-05,0.5,sgd,0
0.9484573841094971,0.006173832697283987,0.17755503356456756,64.0,1e-05,0.6,adam,0
0.925372838973999,0.010163477743045782,0.33856146931648257,64.0,1e-05,0.6,sgd,0
0.9498581409454345,0.0038575676041153863,0.17633203864097596,64.0,1e-06,0.1,adam,0
0.9221080780029297,0.01549226144171503,0.36343738436698914,64.0,1e-06,0.1,sgd,0
0.9489260315895081,0.0025149288065904915,0.17983089983463288,64.0,1e-06,0.2,adam,0
0.9239736795425415,0.007201794750287275,0.3361606478691101,64.0,1e-06,0.2,sgd,0
0.9475266098976135,0.0038510055177038774,0.18037618994712828,64.0,1e-06,0.30000000000000004,adam,0
0.9218725204467774,0.012374640809507257,0.3414262175559998,64.0,1e-06,0.30000000000000004,sgd,0
0.9493911385536193,0.006639042872589376,0.17577856183052062,64.0,1e-06,0.4,adam,0
0.9230399370193482,0.008607128861217138,0.36203175187110903,64.0,1e-06,0.4,sgd,0
0.9437961935997009,0.004391691792521353,0.18447917103767394,64.0,1e-06,0.5,adam,0
0.9263038873672486,0.00899885846957212,0.33970962166786195,64.0,1e-06,0.5,sgd,0
0.9444968342781067,0.0029931030206278354,0.18691389560699462,64.0,1e-06,0.6,adam,0
0.9244396328926087,0.009135554340498387,0.34053303599357604,64.0,1e-06,0.6,sgd,0
0.9465939402580261,0.0033503048578861186,0.17875549495220183,128.0,1.0,0.1,adam,0
0.9218741655349731,0.007193870710236201,0.3444025874137878,128.0,1.0,0.1,sgd,0
0.9475252509117127,0.004921970891650737,0.1813991755247116,128.0,1.0,0.2,adam,0
0.9207075715065003,0.008980133040194056,0.3496172547340393,128.0,1.0,0.2,sgd,0
0.9458916544914245,0.007127444916400634,0.18032791316509247,128.0,1.0,0.30000000000000004,adam,0
0.9221078038215638,0.007204075455125857,0.3403865694999695,128.0,1.0,0.30000000000000004,sgd,0
0.9470590472221374,0.006261166269510665,0.17981919050216674,128.0,1.0,0.4,adam,0
