avg_acc_fold,std_acc_fold,avg_loss_fold,num_units_in_layer1,num_units_in_layer2,num_units_in_layer3,l2_regulizer,dropout_rate,optimizer,num_layers
0.7375130772590637,0.0637096844269826,1.9725287675857544,64.0,64.0,64.0,0.01,0.4,sgd,2
0.9136886119842528,0.0076956968152363,0.2944728016853332,64.0,64.0,64.0,0.01,0.5,adam,2
0.6733542323112488,0.0729497138619043,2.1176774978637694,64.0,64.0,64.0,0.01,0.5,sgd,2
0.9109717845916748,0.0087024740338811,0.2957291007041931,64.0,64.0,64.0,0.01,0.6,adam,2
0.6706374049186706,0.0800267923818769,2.108646059036255,64.0,64.0,64.0,0.01,0.6,sgd,2
0.915987467765808,0.0060062971341552,0.2698638021945953,64.0,64.0,64.0,0.001,0.1,adam,2
0.7947753429412842,0.055219883299487,0.6629007220268249,64.0,64.0,64.0,0.001,0.1,sgd,2
0.9157784819602968,0.0113046038363535,0.2696287959814071,64.0,64.0,64.0,0.001,0.2,adam,2
0.7180773258209229,0.0830504724395049,0.7300845265388489,64.0,64.0,64.0,0.001,0.2,sgd,2
0.9180773258209228,0.0134402743123582,0.2606808543205261,64.0,64.0,64.0,0.001,0.3,adam,2
0.744618582725525,0.0745926421759737,0.7074459910392761,64.0,64.0,64.0,0.001,0.3,sgd,2
0.9126436710357666,0.0089791239431459,0.2678767502307891,64.0,64.0,64.0,0.001,0.4,adam,2
0.7341692805290222,0.0848716440474516,0.7211718440055848,64.0,64.0,64.0,0.001,0.4,sgd,2
0.9122256994247436,0.007875213877422,0.2626134395599365,64.0,64.0,64.0,0.001,0.5,adam,2
0.7356321811676025,0.0515014833033619,0.7158142328262329,64.0,64.0,64.0,0.001,0.5,sgd,2
0.9118077278137208,0.0085301298280007,0.2613897502422332,64.0,64.0,64.0,0.001,0.6,adam,2
0.6242424249649048,0.0435354419787561,0.8126566052436829,64.0,64.0,64.0,0.001,0.6,sgd,2
0.9226750254631042,0.0061995329143017,0.2378959685564041,64.0,64.0,64.0,0.0001,0.1,adam,2
0.7832810878753662,0.0784286742511425,0.5109827578067779,64.0,64.0,64.0,0.0001,0.1,sgd,2
0.9233019828796388,0.0068870481036155,0.243072047829628,64.0,64.0,64.0,0.0001,0.2,adam,2
0.7868338465690613,0.0678675173437168,0.5082524001598359,64.0,64.0,64.0,0.0001,0.2,sgd,2
0.9174503684043884,0.0039652268643673,0.2352716147899627,64.0,64.0,64.0,0.0001,0.3,adam,2
0.6927899718284607,0.094523326272832,0.5934222400188446,64.0,64.0,64.0,0.0001,0.3,sgd,2
0.920794141292572,0.0031968681011007,0.234264126420021,64.0,64.0,64.0,0.0001,0.4,adam,2
0.75882967710495,0.0650428039039325,0.5548167824745178,64.0,64.0,64.0,0.0001,0.4,sgd,2
0.9195402264595032,0.0056464855300314,0.2284168720245361,64.0,64.0,64.0,0.0001,0.5,adam,2
0.6775339603424072,0.0608311874376429,0.6181119084358215,64.0,64.0,64.0,0.0001,0.5,sgd,2
0.9153605103492736,0.0110189590389759,0.2269909292459488,64.0,64.0,64.0,0.0001,0.6,adam,2
0.7153604984283447,0.0527068416220756,0.5926438689231872,64.0,64.0,64.0,0.0001,0.6,sgd,2
0.9199582099914552,0.0121787350947553,0.2419742852449417,64.0,64.0,64.0,1e-05,0.1,adam,2
0.7874608159065246,0.0915078847323764,0.4865096867084503,64.0,64.0,64.0,1e-05,0.1,sgd,2
0.9237199544906616,0.0063043306486824,0.2313630014657974,64.0,64.0,64.0,1e-05,0.2,adam,2
